분석 시간 : 2026-05-13 08:50:30 (Execution time: 574.70 seconds)

예측별 신호 횟수:
전환예측: 강한상승: 0, 상승: 1, 하락: 38, 강한하락: 0
초단기예측: 강한상승: 0, 상승: 4, 하락: 46, 강한하락: 0
이격도예측: 강한상승: 0, 상승: 1, 하락: 13, 강한하락: 0
단기예측: 강한상승: 0, 상승: 4, 하락: 3, 강한하락: 0

최근 3일 기준 종목별 신호
 - 이지스레지던스리츠(350520) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 93.58
 - 조선선재(120030) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 96.16
 - 진에어(272450) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.13
 - 쿠쿠홀딩스(192400) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.35
 - 크라운제과우(26490K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 98.15
 - 토니모리(214420) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.3
 - 하나제약(293480) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.5
 - 한솔제지(213500) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 88.41
 - 한전산업(130660) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 86.77
 - 한화갤러리아(452260) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 99.82
 - 한화갤러리아우(45226K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.89
 - 한화리츠(451800) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 91.89
 - 한화인더스트리얼솔루션즈(489790) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.21
 - LX홀딩스1우(38380K) 강한상승: 0, 상승: 0, 하락: 2, 강한하락: 0, 이격도: 94.39
 - SK아이이테크놀로지(361610) 강한상승: 0, 상승: 0, 하락: 2, 강한하락: 0, 이격도: 89.53
 - 화승엔터프라이즈(241590) 강한상승: 0, 상승: 0, 하락: 2, 강한하락: 0, 이격도: 94.9
날짜: 2026-05-11 - 강한상승: 0, 상승: 5, 하락: 34, 강한하락: 0
 - BGF리테일(282330) 강한상승: 0, 상승: 1, 하락: 0, 강한하락: 0, 이격도: 99.71
 - 롯데웰푸드(280360) 강한상승: 0, 상승: 1, 하락: 0, 강한하락: 0, 이격도: 102.62
 - 한국타이어앤테크놀로지(161390) 강한상승: 0, 상승: 1, 하락: 0, 강한하락: 0, 이격도: 99.04
 - 호전실업(111110) 강한상승: 0, 상승: 1, 하락: 0, 강한하락: 0, 이격도: 100.1
 - SK케미칼우(28513K) 강한상승: 0, 상승: 1, 하락: 1, 강한하락: 0, 이격도: 96.74
 - BNK금융지주(138930) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 94.65
 - DSR(155660) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 96.26
 - GS피앤엘(499790) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.68
 - KCC글라스(344820) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.25
 - SK아이이테크놀로지(361610) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.55
 - 교촌에프앤비(339770) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 96.69
 - 롯데리츠(330590) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 89.23
 - 롯데이노베이트(286940) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 95.73
 - 롯데지주우(00499K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 96.53
 - 비상교육(100220) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.82
 - 삼성FN리츠(448730) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 90.14
